text,model_summary,explanations,maybe,remove
"Sheikh Nawwaf al-Melhem, a leader of the officially-tolerated opposition People's Party, told the BBC he had brokered an agreement between the state and inmates at Hama Central Prison. The prison's power and water supplies had now been restored, he said. Interior Minister Mohammed Shaar said the situation at the prison was normal and denied there had been any disorder. Human rights and opposition activists say the prisoners took guards hostage about a week ago as they tried to halt the transfer of several inmates to another facility where they believed they might be executed. Security forces reportedly surrounded the jail and twice failed to retake it by force. Sheikh Nawwaf, who is also a prominent tribal leader in central Syria, said he travelled to Hama Prison on Saturday afternoon. The inmates' demands focused on ensuring fair and speedy trials for those detained without trial, and the release of those held without charge, he added. Sheikh Nawwaf said he had presented the demands to Mr Shaar and Justice Minister Najm Hamad al-Ahmed in Hama on Sunday. He said a deal to end the mutiny was reached later that day and included a promise from the government of fair trials for political detainees. Leading rights activist Mazen Darwish, who is in touch with the prisoners, confirmed that a verbal agreement had been reached, but did not give any details. Another activist told Reuters news agency the government had ""agreed to most of our demands to release those political detainees held without charge"". The Syrian Observatory for Human Rights, a UK-based group that monitors the conflict in Syria, reported that 26 detainees would be released soon. Later on Monday, the official Sana news agency reported that Mr Shaar and Mr Ahmed had visited the prison, and that they promised to ""provide inmates' needs"" and ensure that none were mistreated. But it also cited a statement by the interior minister as saying that the situation there was ""normal, contrary to the lies and fabrications spread by malicious media outlets as part of their anti-Syria propaganda"". The reported deal came after conditions worsened inside the prison, with authorities cutting electricity and water supplies, and inmates reporting a food shortage and serious medical cases. Security forces also tried to storm the cell block where the prisoners were holding out on Friday and Saturday, using tear gas, rubber bullets and live ammunition. The BBC was told that 15 prisoners were shot and wounded. The revolt was sparked by a move to transfer several detainees to the notorious Sednaya Prison near Damascus. ""You can't imagine, even in your worst nightmare, what kind of torture [takes place] in Sednaya,"" a lawyer who is in contact with the prisoners told the BBC. One activist group, the Syrian Network for Human Rights, has documented the arrest and detention of more than 117,000 people in Syria since the uprising against President Bashar al-Assad began in March 2011.","Syrian prisoners who took over a jail in the central city of Hama have agreed to end their revolt, a prominent opposition figure says.","['The summary states that Hama is a ""central city,"" but the text does not describe Hama as a central city.  ']",[],0
"Instead of giving consent to cookies on every website they visit, users would be able to set general preferences. The European Commission said the plans, which would also remove banners for non-intrusive cookies, would help to tackle an ""overload"" of such requests. But experts warned the plans could harm advert-funded media, as well as platforms such as Facebook and Google. Cookies are small files that download on to a user's device and enable tracking, sometimes to power advertising. Since 2012, EU rules have required websites to tell users what cookies are being placed on their machine. Typically, this meant a pop-up window seeking consent. European Commission vice-president, Andrus Ansip, said it was now proposing simpler rules, ""so that internet users do not have to click on a banner every time they visit a website"". ""This way, people will be more in control of their settings,"" he said. Under the plans, websites could read the cookie preferences set in users' browsers. Also, banners would be scrapped for cookies that do not invade users' privacy, such as those remembering shopping cart history or counting website hits. Last year, many internet companies called for the EU to scrap the so-called ""cookie law"", introduced in 2012. However, the latest proposals could end up damaging online services and frustrate web users, according to a senior executive at a trade body that represents many of the world's biggest internet firms. ""The banners are certainly annoying. The question is whether they come up with something that's better or worse,"" said James Waterworth, vice-president of the Computer and Communications Industry Association. He warned the proposals could harm a range of companies, from Facebook through to newspapers, if many users opted against allowing all but the least intrusive cookies. ""If this is done wrong and it's much harder to obtain permission, then it could have a serious impact on ad-funded services,"" he told the BBC. Under the proposals, users could set a preference in their browser for the level of cookies to which they consent. But they might also need to do this in every app and on every device they log in to, advertising companies have warned. ""People who thought cookie banners were annoying, will be disappointed to hear that things won't get better,"" said Townsend Feehan, chief executive of Interactive Advertising Bureau Europe. The commission's proposals on privacy rules for electronic communications cover a range of areas, including: . The European Commission hopes to introduce the changes by May 2018, although experts warned that would be a tight timeline. It comes less than a year after the EU introduced the Privacy Shield, which also set rules for tech companies on data protection and privacy.",Websites could soon be forced to ask users' permission before placing cookies on their machines.,"[""The summary states that websites could soon be forced to ask users' permission before placing cookies, but the text describes a proposal to allow users to set general preferences in their browsers, which would reduce the need for websites to ask for permission repeatedly.""]",[],0
"I have been talking to two companies on Anglesey. Both have received EU funding but their owners have opposing views on whether to leave or remain. VOTING TO LEAVE . Gabitie Group employs eight people in Holyhead. It started in 2004 as an e-commerce company selling bedding, silk clothing and chandeliers but has diversified into making fabricated steel buildings, staircases and mezzanine floors. Most customers are in the south of England but it also exports to Australia and New Zealand and across Europe. Owner Grant Bond was undecided until recently but is now voting to leave, saying there was too much interference from the European Union. He believes Brexit might have a short term impact but in the long term be beneficial if it means less red tape for small business. ""On the face of it looks like it will have negative effect because it looks likely for a year or two we might face recession or financial issues,"" he said. ""But in the long term, the policies and bureaucracy of the EU are harming the business. A lot of what we have to do has to be up to standards and regulations which change almost on a daily basis. A lot of which doesn't make a lot of sense, as I'd argue British standards are often the best worldwide."" STILL NOT SURE . But Gabitie warehouse assistant Dale Murphy said he was undecided and said the campaigns were not really explaining the issues to young people. ""When you get the likes of Boris Johnson and David Cameron not agreeing on something, I don't know who to go with. ""I'll come to a conclusion but it's confusing - we don't know what the effects are going to be on us in the long run and this is something we have to think about because it's a big choice."" VOTING REMAIN . David Williams, owner of Plas Farm Dairies in Gaerwen, started his business in 1987 making frozen yogurt, ice cream and salads and employs 24 people. The company depends heavily on selling its goods on the continent with 40% of its trade to the rest of the European Union while only 5% goes to the rest of the world. Mr Williams said there was regulation in food production wherever they exported to in the world. ""It would be very damaging to our business if we left Europe because we work very closely with our customers in Europe. It's very much a partnership and it would be a blow to leave. ""Hopefully we'd keep as much of it going as we can but there are likely to be some levies. If you think bureaucracy is bad in Europe, try selling to China and India; in my experience it's much worse. ""I think it's really important to the financial well being of this area in Wales; the home market isn't very strong, the population isn't very big, we need exports. And the idea we can build them up from outside Europe in that short time is ridiculous."" Businesses' approach to EU membership may well come down to the sector they work in and the markets they sell in though uncertainty is always a concern. Polls suggest that companies tend to be in favour of remaining but businesses do not have a vote - so it will come down to individuals what they mark on their ballot papers on 23 June.","As the UK prepares to vote on whether to stay in or leave the European Union, some small businesses are still undecided.","['The summary states that some small businesses are still undecided, but the text does not mention any businesses being undecided. It only mentions individuals, such as Dale Murphy, being undecided.']",[],0
"The Cabinet Office said the election for the vacant seat, planned for 4 May, would now take place on 8 June as part of the nationwide polling day. MPs will be asked to formally overturn the writ for the poll. The proposed by-election would have created the anomaly of taking place after Parliament had been dissolved. The by-election was caused by the death of long-serving Labour MP Sir Gerald Kaufman in February. Commons Leader David Lidington told MPs there was no statutory provision allowing for the cancellation of a by-election when a general election was in progress. But he said a precedent was set in a similar situation in 1923, when a by-election writ was regarded as having been superseded. The Commons vote would enable Manchester's acting returning officer Joanne Roney to cancel the by-election.",The Manchester Gorton by-election has been cancelled because of the current general election campaign.,[],[],0
"Sales volumes were 1.3% higher in the month compared with March. They were also 4.3% higher than a year earlier, the Office For National Statistics (ONS) said. The ONS revised March's retail sales figures, showing retail sales fell by just 0.5% rather than 1.3%, as first estimated. ""Clothing stores remain the main drag on growth in the retail sector, with sales hampered by unseasonal weather. However... sales increased in April compared with March as lower prices boosted sales,"" said ONS statistician Melanie Richard. Colder than usual weather had also dented spending in March, hurting demand for spring and summer clothes, according to the ONS and surveys from the British Retail Consortium and the CBI. The latest ONS figures showed total average store prices in April were 2.8% lower than a year earlier, dragged down by a 7.3% drop in fuel prices. Food store prices fell 2.3% amid the continuing supermarket price war. However, the total amount spent in April increased by 2.1% to Â£28.1bn compared with the year before. Keith Richardson, of Lloyds Bank commercial banking, said a rush to complete property deals before a stamp duty rise came into effect in April had helped to boost demand for household goods and furniture. Vicky Redwood, chief economist at Capital Economics, said that consumer confidence did not seem to have been adversely affected by the UK's upcoming referendum on EU membership. ""Indeed, consumer spending should prevent the economy from slowing too much this quarter, even if referendum uncertainty has a bigger impact on business confidence and investment,"" she said. The British Chambers of Commerce (BCC) said the rise in April's retail sales was welcome, but highlighted imbalances in the UK economy. ""After the disappointing decline in March, the strong retail sales recovery in April supports our view that in spite of major headwinds the UK economy continues to grow, albeit at a slowing pace,"" said David Kern, BCC chief economist. ""However, the contrast between buoyant retail sales and the problems facing other sectors such as manufacturing highlights the unbalanced nature of Britain's recovery."" The BCC called for ""a more balanced economic structure with a stronger focus on exports, investment and manufacturing"". The stronger-than-expected retail sales figures pushed up the value of the pound. Sterling rose against the euro by 0.3% to â‚¬1.3053, and climbed 0.2% against the dollar to $1.4625.","UK retail sales rose by more than expected in April, helped by lower prices, official figures have shown.","['The summary states that UK retail sales rose by more than expected, but the source text does not mention any expectations or whether the rise exceeded them.']",[],0
"AMs vote on introducing a ban in the Senedd next week. The issue has caused tensions within the Labour group, with the Welsh government ruling out changing the law before next year's assembly elections. One Labour AM, Christine Chapman, spoke last year of feeling ""cheated"" that ministers had not addressed the issue. In a joint letter published in this morning's Western Mail, the Most Reverend Barry Morgan, Professor Sally Holland and Phil Bale, leader of Cardiff Council, argue that a ban would simply give children the same protection in law as adults. They write: ""We call on the First Minister and Welsh Government to allow Labour AMs a free (conscience) vote on an amendment to the Violence against Women, Domestic Abuse and Sexual Violence (Wales) Bill concerning the physical punishment of children, and we call upon all AMs to support this amendment. ""The amendment would remove the defence of 'reasonable punishment' in relation to assaults on children in Wales and finally give children the legal protection from physical harm that they deserve."" Labour's current position is that there will not be a free vote for its AMs on the amendment, tabled by Cardiff North AM Julie Morgan.",The Archbishop of Wales and the leader of Cardiff Council have called on Labour AMs to back a ban on physical punishment of children.,"['The summary refers to the Archbishop of Wales, but the text does not mention this title. It only mentions ""The Most Reverend Barry Morgan,"" without specifying his role as the Archbishop of Wales. ']",[],0
"David Brickwood, 74, was stabbed five times in Northampton on 26 September in a ""violent and dreadful"" attack. One of his sons, Dale Brickwood, said the family was becoming ""increasingly frustrated"" the killers had not yet been brought to justice. Police said the case was ""a priority"" they were ""committed"" to solving. Mr Brickwood was attacked when several men broke into his Lindsay Avenue home in the early hours of the morning. He was left with multiple stab wounds to the head, leg and hand. The scrap metal dealer was known to keep money in his house. His son Dale said the family was not sure how much was taken but during a Crimewatch reconstruction on 8 February police appealed for ""anyone [who has] come into contact with a large amount of old style £20 and £50 notes"" to come forward. His son said watches and jewellery were also taken. The offenders would have been ""covered in blood"", officers said, but despite that, no-one has been charged. Two men arrested shortly after the murder were released with no further action. Three other men remain on bail. Mr Brickwood criticised Northamptonshire Police for a lack of communication, saying: ""We seem to be finding information and giving it to them."" The police ""don't really talk to us"", he added. Northamptonshire Police said two family liaison officers had been assigned plus a ""dedicated team of detectives"". Det Ch Insp Mick Graham, leading the investigation, said: ""I can fully understand that the family and friends of David may be frustrated. ""The investigation team share that frustration and empathise with David's family."" He said there was ""a lot of rumour and speculation locally"", but added: ""We need the people with the critical pieces of information and evidence to come forward."" However, the family has been left ""so demoralised"" after the recent Crimewatch appeal failed to lead to further arrests, Dale Brickwood said. ""It's disgusting. Five months after our dad was murdered and no-one's been caught. Where do we go from here?"" Crimestoppers has offered a £10,000 reward for information leading to the arrest and conviction of those responsible.","The family of a man murdered in his home five months ago have criticised police for a ""lack of communication"".",[],[],0
"Security organisations had previously identified Iran as one of at least eight countries targeted by the code. The spyware is believed to have been designed to steal data to help launch further cyber attacks. The sender has not been identified, but researchers have found a reference to a US television programme in Duqu's code. The Iranian news agency, IRNA, reported that the country's cyber defence unit was taking steps to combat the infection. ""The software to control the virus has been developed and made available to organisations and corporations,"" Brigadier General Gholamreza Jalali, head of Iran's civil defence body, is quoted as saying. ""All the organisations and centres that could be susceptible to being contaminated are being controlled."" Mr Jalali said a ""final report"" into which organisations had been targeted was still being worked on. Last year the Iranian government accused the West of trying to disrupt its nuclear facilities using the Stuxnet worm computer attack. Then in April 2011 officials said the country's facilities had been targeted by a second piece of malware dubbed ""Stars"". Officials now describe the Duqu attack as the ""third virus"" to hit Iran. The computer security specialist Kaspersky Lab said it believed that ""Stars"" was a keylogging program that may have been part of the same attack that installed Duqu. Keylogging programs are able to collect information about a computer system, take screenshots, search for files and capture passwords. The firm also provided more detail about how Duqu worked based on its analysis of other targets. It said another unidentified company received an email from an individual identifying himself as Mr B Jason who requested a joint business venture. The firm believed this was a reference to the Jason Bourne books and spy movies. The recipient was asked to open a Microsoft Word attachment that referenced the targeted company's name in its title, and thus did not appear to be spam. It said that for every victim a separate set of attack files was created using a different control server. The firm said this happened at least 12 times. When the addressee opened the file the malware became active through a Truetype font exploit, but did nothing until it detected that there had been no keyboard or mouse activity for ten minutes. Kaspersky Lab said the font was called Dexter Regular and its creators were identified as Showtime Inc. ""This is another prank pulled by the Duqu authors, since Showtime Inc is the cable broadcasting company behind the TV series Dexter, about a CSI doctor who happens also to be a serial killer,"" the report said. The firm said the exploit then loaded a driver onto the system. Analysis of the driver suggested it was compiled as long ago as August 2007. ""If this information is correct, then the authors of Duqu must have been working on this project for over four years,"" the report said. The firm said the driver then began a process that led to the Duqu trojan being installed allowing the attackers to introduce new modules, infect other networked computers, and collect information. The company said efforts to identify the attackers have been complicated by the fact that the suspects appear to have deactivated several of the control servers thought to have been involved in the attacks.",Iranian officials have confirmed that the country has been hit by malware known as Duqu.,[],[],0
"A conference next month at the city's National Waterfront Museum will hear from delegates who have turned around the fortunes of Sydney, Australia, and Antwerp, Belgium. It is being organised by the Design Commission for Wales in partnership with Swansea council. One council leader said Swansea must rethink what makes a city successful. It follows a series of shop closures across the city centre in recent years, followed by the loss of a Â£1bn project to transform the shopping district, when developers plumped to invest in the out-of-town Parc Tawe instead. Robert Francis-Davies, Swansea council's cabinet member for enterprise, development and regeneration, said they needed to examine what makes a winning city. ""Shopping is a major part of the city centre offer here, but a lot more needs to be available to generate the footfall our traders need,"" he said. ""The city centre has to become a place that people want to go - a destination that's both easy to get to and offers a range of events that will create a buzz and attract people."" Initiatives have already begun to try and lure people back into town. This week retailers have been invited to take to the streets on temporary market stalls in order to drum up passing trade with a variety of themed events. Last weekend saw the re-launch of the Big Heart of Swansea loyalty card which offers discounts at participating stores within the city centre's Business Improvement District (BID). According to Russell Greenslade, chief executive of Swansea BID, around 500 shoppers snapped up the offer on its first day. ""The beauty of the loyalty card is that discounts can only be redeemed in-store,"" he said. ""This helps attract more visitors into the city centre and boosts our traders. It's one of many schemes on which we work closely with Swansea council to benefit our city centre businesses."" But Julie Williamson, who chairs Swansea Bay's Federation of Small Businesses, said the success of the city lay with all businesses - not just the shops. ""Of course we need a healthy retail sector, but what keeps those shops going is the workers from other offices and businesses coming into town every day, and shopping in their lunch breaks and after work. And it's those other businesses which are leaving in increasing numbers.""",Experts from around the world are set to come to Swansea to help turn around the fortunes of the city centre.,[],[],0
"The ""respect and responsibility review"" will seek to change the ""macho"" culture of the country's national sport, the sporting body said. One of the most contentious episodes saw a woman hired to strip assaulted at a team party earlier this year. NZR was heavily criticised for its response to this and several other incidents that have sparked rows. This season itself, star scrum-half Aaron Smith was at the centre of a scandal after he was seen entering a toilet cubicle with a woman at Christchurch Airport. He was later found guilty of misconduct. ""In the same way that rugby seeks to do better on the field, we must constantly seek ways to improve off the field,"" NZR chief executive Steve Tew said. The scandals that tainted New Zealand's national sport . The review will consider what further action needs to be taken ""to build a culture of respect and responsibility in the professional rugby environment"", according to NZR chairman Brent Impey. A nine person panel will be headed by Law Society president Kathryn Beck. ""I think it was quite deliberate that a woman was made chair of this panel,"" said Ms Beck. ""It is a very clear focus on women and the impact of the respect and responsibility within the rugby community on women, both within the community and externally."" The panel will also comprise of Olympic athlete Lisa Carrington, former All Black athletes Michael Jones and Keven Mealamu and Sport NZ board member Jackie Barron amongst others. The panel will provide the New Zealand Rugby board with a preliminary report next April, with panel recommendations expected to come in May.",New Zealand Rugby (NZR) has launched an independent review into the conduct of its players and staff.,"['The summary states that NZR has launched the review, but the source text does not confirm that the review has already been launched. ']","['The summary states the review is into the conduct of players and staff, but the source text specifies the review is about building a culture of respect and responsibility, not explicitly about the conduct of players and staff.']",0
